Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product	Genes in same transcription unit	Object_ID	Accession-2
phd2		1234594	1234848	Prevent-host-death protein	phd2 // yoeB	SYNPCC7942_1208	SYNPCC7942_RS06185
SYNPCC7942_0566		547262	548017	HAD-superfamily hydrolase subfamily IIB	SYNPCC7942_0566 // SYNPCC7942_0565	SYNPCC7942_0566	SYNPCC7942_RS02880
SYNPCC7942_1023		1037841	1038086	conserved hypothetical protein	SYNPCC7942_1024 // SYNPCC7942_1023 // SYNPCC7942_1022	SYNPCC7942_1023	
aroC		214471	215559	chorismate synthase	aroC	SYNPCC7942_0212	SYNPCC7942_RS01075
SYNPCC7942_0979		988074	988577	conserved hypothetical protein	SYNPCC7942_0979	SYNPCC7942_0979	SYNPCC7942_RS05030
rpsP		1838756	1839004	30S ribosomal subunit protein S16	SYNPCC7942_1773 // rpsP	SYNPCC7942_1772	SYNPCC7942_RS09005
gltX1		927391	928293	Glutamate--tRNA ligase	mtaP // gltX1 // SYNPCC7942_0921	SYNPCC7942_0922	SYNPCC7942_RS04745
SYNPCC7942_0919		926077	926523	conserved hypothetical protein	SYNPCC7942_0919	SYNPCC7942_0919	SYNPCC7942_RS04730
SYNPCC7942_2346		2413356	2414141	HAD-superfamily subfamily IA	SYNPCC7942_2346	SYNPCC7942_2346	SYNPCC7942_RS11920
SYNPCC7942_1932		2006047	2006580	conserved hypothetical protein	dacB // fni // SYNPCC7942_1932	SYNPCC7942_1932	SYNPCC7942_RS09805
alaS		877976	880675	alanyl-tRNA synthetase	alaS	SYNPCC7942_0876	SYNPCC7942_RS04515
cmpC		1540818	1542809	bicarbonate transport ATP-binding subunit C	cmpD // cmpC // cmpB // cmpA	SYNPCC7942_1490	SYNPCC7942_RS07615
SYNPCC7942_0880		886915	887472	conserved hypothetical protein	SYNPCC7942_0880	SYNPCC7942_0880	SYNPCC7942_RS04535
ndhJ		1212795	1213313	NADH dehydrogenase I subunit J	ndhJ // ndhK // ndhC	SYNPCC7942_1182	SYNPCC7942_RS06055
SYNPCC7942_1889		1961987	1963582	conserved hypothetical protein	SYNPCC7942_1889	SYNPCC7942_1889	SYNPCC7942_RS09580
SYNPCC7942_0188		185682	187418	diguanylate cyclase/phosphodiesterase (GGDEF &amp; EAL domains) with PAS/PAC sensor(s)	SYNPCC7942_0188	SYNPCC7942_0188	SYNPCC7942_RS00955
rsgA		2154014	2155066	putative ribosome biogenesis GTPase RsgA	rsgA // SYNPCC7942_2075 // dnaJ1	SYNPCC7942_2076	SYNPCC7942_RS10525
SYNPCC7942_0850		846479	846679	conserved hypothetical protein	SYNPCC7942_0850	SYNPCC7942_0850	SYNPCC7942_RS04390
merR		1809717	1810142	transcriptional regulator, MerR family	merR	SYNPCC7942_1739	SYNPCC7942_RS08850
SYNPCC7942_1839		1906094	1906834	conserved hypothetical protein	SYNPCC7942_1839	SYNPCC7942_1839	SYNPCC7942_RS09330
grxC		2391109	2391372	Glutaredoxin, GrxC	gshB // grxC	SYNPCC7942_2323	SYNPCC7942_RS11810
glmS		517016	518941	glucosamine--fructose-6-phosphate aminotransferase, isomerizing	glmS // SYNPCC7942_0533 // SYNPCC7942_0532	SYNPCC7942_0534	SYNPCC7942_RS02715
SYNPCC7942_0820		813960	814394	conserved hypothetical protein	SYNPCC7942_0820	SYNPCC7942_0820	SYNPCC7942_RS04240
SYNPCC7942_0838		832860	833957	Elongator protein 3/MiaB/NifB	SYNPCC7942_0840 // SYNPCC7942_0839 // SYNPCC7942_0838	SYNPCC7942_0838	SYNPCC7942_RS04335
SYNPCC7942_1801		1870692	1871408	conserved hypothetical protein	SYNPCC7942_1801	SYNPCC7942_1801	SYNPCC7942_RS09150
panC/cmk		1175883	1177466	Bifunctional pantoate ligase/cytidylate kinase	panC/cmk	SYNPCC7942_1151	SYNPCC7942_RS05900
anL36		3160	5040	cysteine desulfurase	anL36	SYNPCC7942_B2661	SYNPCC7942_RS13365
SYNPCC7942_0775		767242	767721	conserved hypothetical protein	crtE // SYNPCC7942_0775	SYNPCC7942_0775	SYNPCC7942_RS04020
pgm1		157210	158841	phosphoglucomutase	pgm1	SYNPCC7942_0156	SYNPCC7942_RS00790
SYNPCC7942_1768		1835596	1836408	conserved hypothetical protein	SYNPCC7942_1769 // SYNPCC7942_1768	SYNPCC7942_1768	SYNPCC7942_RS08985
glcF		1787724	1789025	glycolate oxidase subunit (Fe-S) protein	glcE // glcF	SYNPCC7942_1717	SYNPCC7942_RS08735
SYNPCC7942_1465		1518994	1519449	Protein of unknown function UPF0074	SYNPCC7942_1465	SYNPCC7942_1465	SYNPCC7942_RS07495
SYNPCC7942_0752		747510	747722	conserved hypothetical protein	gpD // SYNPCC7942_0752 // SYNPCC7942_0751 // tmp	SYNPCC7942_0752	SYNPCC7942_RS03895
folP		2371417	2372253	dihydropteroate synthase	folP	SYNPCC7942_2303	SYNPCC7942_RS11705
SYNPCC7942_1731		1802686	1803171	conserved hypothetical protein	sufR // SYNPCC7942_1732 // SYNPCC7942_1731	SYNPCC7942_1731	SYNPCC7942_RS08810
spsA		800851	802980	sucrose phosphate synthase	spsA	SYNPCC7942_0808	SYNPCC7942_RS04180
fbpI		491830	492867	FbpI monomer	fbpI	SYNPCC7942_0505	SYNPCC7942_RS02565
anL21		39571	40194	conserved hypothetical protein	anL21	SYNPCC7942_B2645	SYNPCC7942_RS13555
rpsR		1141051	1141266	30S ribosomal subunit protein S18	rnb1 // rpsR	SYNPCC7942_1123	SYNPCC7942_RS05750
SYNPCC7942_0728		723236	723781	conserved hypothetical protein	SYNPCC7942_0729 // SYNPCC7942_0728	SYNPCC7942_0728	SYNPCC7942_RS03765
fabI		125382	126158	enoyl-(acyl-carrier-protein) reductase	fabI // hisB	SYNPCC7942_0126	SYNPCC7942_RS00640
srpB		12400	12948	Uncharacterized membrane protein-like	srpB	SYNPCC7942_B2621	SYNPCC7942_RS13415
SYNPCC7942_1678		1746611	1747153	conserved hypothetical protein	SYNPCC7942_1678 // SYNPCC7942_1677 // SYNPCC7942_1676	SYNPCC7942_1678	SYNPCC7942_RS08550
SYNPCC7942_1693		1759418	1759819	response regulator receiver domain protein (CheY-like)	SYNPCC7942_1693	SYNPCC7942_1693	SYNPCC7942_RS08620
anL42		8691	9050	conserved hypothetical protein	anL42	SYNPCC7942_B2616	SYNPCC7942_RS13390
nudF		2339045	2339596	ADP-ribose pyrophosphatase	folK // nudF // SYNPCC7942_2270 // SYNPCC7942_2269 // cobU	SYNPCC7942_2271	SYNPCC7942_RS11540
cobD		1495174	1496151	cobalamin biosynthesis protein CobD	cobD	SYNPCC7942_1441	SYNPCC7942_RS07370
SYNPCC7942_0701		692799	693260	conserved hypothetical protein	SYNPCC7942_0705 // cat // dprA // SYNPCC7942_0702 // SYNPCC7942_0701	SYNPCC7942_0701	SYNPCC7942_RS03595
SYNPCC7942_0780		772585	773958	serine/threonine protein kinase	SYNPCC7942_0780	SYNPCC7942_0780	SYNPCC7942_RS04045
SYNPCC7942_1646		1714348	1715070	conserved hypothetical protein	SYNPCC7942_1646	SYNPCC7942_1646	SYNPCC7942_RS08395
SYNPCC7942_0477		460994	461293	conserved hypothetical protein YCF19	lepA // lepB1 // SYNPCC7942_0477	SYNPCC7942_0477	SYNPCC7942_RS02430
SYNPCC7942_2578		2663093	2663566	conserved hypothetical protein	dnaK3 // dnaJ3 // SYNPCC7942_2578 // murQ	SYNPCC7942_2578	SYNPCC7942_RS13125
arpA		103268	103645	Ankyrin	SYNPCC7942_0104 // arpA	SYNPCC7942_0103	SYNPCC7942_RS00525
SYNPCC7942_0662		657943	658857	hypothetical protein	SYNPCC7942_0662	SYNPCC7942_0662	SYNPCC7942_RS03390
murD		1735965	1737356	UDP-N-acetylmuramoylalanine--D-glutamate ligase	murD	SYNPCC7942_1667	SYNPCC7942_RS08500
pgi		2097799	2099385	Glucose-6-phosphate isomerase	pgi	SYNPCC7942_2029	SYNPCC7942_RS10295
SYNPCC7942_1605		1670630	1671208	conserved hypothetical protein	SYNPCC7942_1605	SYNPCC7942_1605	SYNPCC7942_RS08190
ribH		2309788	2310333	6,7-dimethyl-8-ribityllumazine synthase	psbZ // ribH	SYNPCC7942_2244	SYNPCC7942_RS11395
SYNPCC7942_2523		2605009	2605266	hypothetical protein	tig // SYNPCC7942_2523	SYNPCC7942_2523	SYNPCC7942_RS12810
SYNPCC7942_0736		731434	731745	electron transfer protein	SYNPCC7942_0737 // SYNPCC7942_0736 // SYNPCC7942_0735	SYNPCC7942_0736	SYNPCC7942_RS03805
comB		2673063	2673848	2-phosphosulfolactate phosphatase	comB	SYNPCC7942_2589	SYNPCC7942_RS13185
SYNPCC7942_0617		607311	607688	conserved hypothetical protein	SYNPCC7942_0617	SYNPCC7942_0617	SYNPCC7942_RS03165
SYNPCC7942_1070		1081730	1082851	oxidoreductase aldo/keto reductase	SYNPCC7942_1070 // SYNPCC7942_1069	SYNPCC7942_1070	SYNPCC7942_RS05490
SYNPCC7942_1559		1616284	1616958	conserved hypothetical protein	SYNPCC7942_1559 // SYNPCC7942_1558	SYNPCC7942_1559	SYNPCC7942_RS07955
SYNPCC7942_0078		76614	77063	Protein of unknown function UPF0047	SYNPCC7942_0078	SYNPCC7942_0078	SYNPCC7942_RS00385
chlN		1473509	1474909	light-independent protochlorophyllide reductase, N subunit	chlN	SYNPCC7942_1420	SYNPCC7942_RS07265
SYNPCC7942_2482		2563111	2563704	hypothetical protein	SYNPCC7942_2482	SYNPCC7942_2482	
phhB		1704606	1705013	pterin-4a-carbinolamine dehydratase	phhB	SYNPCC7942_1636	
SYNPCC7942_0574		555612	556442	conserved hypothetical protein	SYNPCC7942_0574	SYNPCC7942_0574	SYNPCC7942_RS02925
rpmC		2294940	2295134	50S ribosomal subunit protein L29	rplD // rplW // rplB // rpsS // rplV // rpsC // rplP // rpmC // rpsQ // rplN // rplX	SYNPCC7942_2224	SYNPCC7942_RS11295
sel0019		440670	441299	esterase	sel0019	SYNPCC7942_0451	SYNPCC7942_RS02305
SYNPCC7942_1504		1553330	1554718	conserved hypothetical protein	SYNPCC7942_1504	SYNPCC7942_1504	SYNPCC7942_RS07685
psbB		689222	690748	CP47	psbB	SYNPCC7942_0697	SYNPCC7942_RS03575
SYNPCC7942_2431		2502146	2505955	conserved hypothetical protein	SYNPCC7942_2431 // trm1 // exbB // exbD	SYNPCC7942_2431	SYNPCC7942_RS12350
cpcB1		1060318	1060839	phycocyanin, beta subunit	cpcA1 // cpcB1	SYNPCC7942_1047	SYNPCC7942_RS05370
mrcA3		2067958	2070180	Penicillin-binding protein 1A	mrcA3	SYNPCC7942_2000	SYNPCC7942_RS10140
SYNPCC7942_0543		526250	526813	conserved hypothetical protein	SYNPCC7942_0543	SYNPCC7942_0543	SYNPCC7942_RS02765
pilA2		49550	49984	pilin polypeptide PilA-like	pilA2	SYNPCC7942_0049	
SYNPCC7942_1460		1512321	1512578	conserved hypothetical protein	SYNPCC7942_1460	SYNPCC7942_1460	SYNPCC7942_RS07470
pntB		1678977	1680389	pyridine nucleotide transhydrogenase beta subunit	pntA // SYNPCC7942_1611 // pntB	SYNPCC7942_1610	SYNPCC7942_RS08215
ppiA		2645522	2646619	peptidyl-prolyl cis-trans isomerase	thiL // ppiA	SYNPCC7942_2566	SYNPCC7942_RS13040
SYNPCC7942_2397		2471934	2472461	conserved hypothetical protein	SYNPCC7942_2399 // yqgF // SYNPCC7942_2397 // SYNPCC7942_2396	SYNPCC7942_2397	SYNPCC7942_RS12180
rplQ		2286420	2286770	50S ribosomal subunit protein L17	rpoA // rplQ // truA // rplM // rpsI // rpmE	SYNPCC7942_2208	SYNPCC7942_RS11220
SYNPCC7942_0509		495460	495933	conserved hypothetical protein	SYNPCC7942_0509 // chlP2 // frr // pyrH	SYNPCC7942_0509	SYNPCC7942_RS02585
pyrB		665121	666137	aspartate carbamoyltransferase	SYNPCC7942_0671 // pyrB // mpg	SYNPCC7942_0670	SYNPCC7942_RS03430
SYNPCC7942_1412		1464368	1464817	conserved hypothetical protein	SYNPCC7942_1412 // SYNPCC7942_1411	SYNPCC7942_1412	SYNPCC7942_RS07225
mcpA		1028418	1030937	methyl-accepting chemotaxis sensory transducer	cheW // mcpA // cheA // SYNPCC7942_1013	SYNPCC7942_1015	SYNPCC7942_RS05215
SYNPCC7942_2347		2414138	2415214	conserved hypothetical protein	SYNPCC7942_2347	SYNPCC7942_2347	SYNPCC7942_RS11925
cax		23057	24121	calcium/proton exchanger	cax // SYNPCC7942_0022 // cobK	SYNPCC7942_0023	SYNPCC7942_RS00120
SYNPCC7942_0123		123808	123897	conserved hypothetical protein	SYNPCC7942_0123	SYNPCC7942_0123	
SYNPCC7942_1587		1652732	1653172	integral membrane protein-like	SYNPCC7942_1587	SYNPCC7942_1587	SYNPCC7942_RS08105
SYNPCC7942_0470		457211	457744	conserved hypothetical protein	SYNPCC7942_0470	SYNPCC7942_0470	SYNPCC7942_RS02400
rnhA		2261556	2262335	ribonuclease HI	rnhA	SYNPCC7942_2183	SYNPCC7942_RS11095
SYNPCC7942_1368		1406657	1406992	conserved hypothetical protein	SYNPCC7942_1368 // SYNPCC7942_1367	SYNPCC7942_1368	SYNPCC7942_RS07000
sdhA		634089	635996	succinate dehydrogenase subunit A	sdhA	SYNPCC7942_0641	SYNPCC7942_RS03290
SYNPCC7942_2293		2363670	2364119	conserved hypothetical protein	SYNPCC7942_2295 // SYNPCC7942_2294 // SYNPCC7942_2293 // SYNPCC7942_2292	SYNPCC7942_2293	SYNPCC7942_RS11655
SYNPCC7942_0991		998464	999729	cytoplasmic membrane protein	SYNPCC7942_0991 // cobP	SYNPCC7942_0991	SYNPCC7942_RS05090
SYNPCC7942_0074		73306	73659	conserved hypothetical protein	SYNPCC7942_0074	SYNPCC7942_0074	SYNPCC7942_RS00365
anL09		33767	34084	hypothetical protein		G490-2	
SYNPCC7942_0425		415064	415441	conserved hypothetical protein	SYNPCC7942_0425	SYNPCC7942_0425	SYNPCC7942_RS02170
ppk		1623449	1625644	Polyphosphate kinase	ppk // SYNPCC7942_1565	SYNPCC7942_1566	SYNPCC7942_RS08000
SYNPCC7942_1329		1361879	1362505	conserved hypothetical protein	SYNPCC7942_1330 // SYNPCC7942_1329	SYNPCC7942_1329	SYNPCC7942_RS06795
SYNPCC7942_2144		2228529	2229017	nuclease (SNase-like)	SYNPCC7942_2145 // SYNPCC7942_2144	SYNPCC7942_2144	SYNPCC7942_RS10890
SYNPCC7942_2256		2326061	2326615	conserved hypothetical protein	SYNPCC7942_2256	SYNPCC7942_2256	SYNPCC7942_RS11470
SYNPCC7942_0622		611915	613912	ATPase	SYNPCC7942_0622 // SYNPCC7942_0621	SYNPCC7942_0622	SYNPCC7942_RS03190
SYNPCC7942_0036		35341	36126	conserved hypothetical protein	SYNPCC7942_0036	SYNPCC7942_0036	
hemC		974099	975061	porphobilinogen deaminase	hemC	SYNPCC7942_0967	SYNPCC7942_RS04970
SYNPCC7942_0398		392990	393448	hypothetical protein	SYNPCC7942_0398	SYNPCC7942_0398	SYNPCC7942_RS02030
SYNPCC7942_1536		1595934	1596614	probable amidotransferase	SYNPCC7942_1536 // rbcX	SYNPCC7942_1536	SYNPCC7942_RS07850
SYNPCC7942_1270		1295129	1295425	hypothetical protein	SYNPCC7942_1270	SYNPCC7942_1270	
rnc2		2201698	2202114	Ribonuclease III	spoIIAA // rnc2	SYNPCC7942_2120	SYNPCC7942_RS10750
SYNPCC7942_2181		2259980	2261191	conserved hypothetical protein	SYNPCC7942_2181	SYNPCC7942_2181	SYNPCC7942_RS11085
pfkA		579312	580394	6-phosphofructokinase	SYNPCC7942_0595 // SYNPCC7942_0594 // SYNPCC7942_0593 // pfkA	SYNPCC7942_0592	SYNPCC7942_RS03035
SYNPCC7942_0361		354532	354759	conserved hypothetical protein	SYNPCC7942_0361	SYNPCC7942_0361	SYNPCC7942_RS01840
folC		951502	952740	FolC bifunctional protein	folC // argD2	SYNPCC7942_0944	SYNPCC7942_RS04855
SYNPCC7942_1203		1233050	1233463	conserved hypothetical protein	phd1 // SYNPCC7942_1203	SYNPCC7942_1203	SYNPCC7942_RS06160
SYNPCC7942_1517		1566943	1568316	two-component sensor histidine kinase hik34-like	SYNPCC7942_1517	SYNPCC7942_1517	SYNPCC7942_RS07755
SYNPCC7942_2154		2238501	2238704	hypothetical protein	SYNPCC7942_2155 // SYNPCC7942_2154	SYNPCC7942_2154	SYNPCC7942_RS10945
rfbC2		2180457	2181008	dTDP-4-dehydrorhamnose 3,5-epimerase	SYNPCC7942_2102 // rmlA // rfbB2 // rfbD // rfbC2	SYNPCC7942_2098	SYNPCC7942_RS10635
SYNPCC7942_0306		304039	304347	hypothetical protein	SYNPCC7942_0306	SYNPCC7942_0306	
codA		549371	550687	cytosine deaminase	rpoD4 // codA // SYNPCC7942_0567	SYNPCC7942_0568	SYNPCC7942_RS02890
SYNPCC7942_1162		1194846	1195301	conserved hypothetical protein	SYNPCC7942_1163 // SYNPCC7942_1162 // SYNPCC7942_1161	SYNPCC7942_1162	SYNPCC7942_RS05955
mtaP		928293	929168	Methylthioadenosine phosphorylase	mtaP // gltX1 // SYNPCC7942_0921	SYNPCC7942_0923	SYNPCC7942_RS04750
SYNPCC7942_2115		2196274	2197128	conserved hypothetical protein	SYNPCC7942_2115	SYNPCC7942_2115	SYNPCC7942_RS10725
cmpD		1542834	1543670	bicarbonate transport ATP-binding subunit D	cmpD // cmpC // cmpB // cmpA	SYNPCC7942_1491	SYNPCC7942_RS07620
SYNPCC7942_0253		248171	248629	conserved hypothetical protein	SYNPCC7942_0253 // SYNPCC7942_0252	SYNPCC7942_0253	SYNPCC7942_RS01290
pgam3		2155927	2156565	phosphoglycerate mutase	ackA // pgam3	SYNPCC7942_2078	SYNPCC7942_RS10535
SYNPCC7942_1134		1155654	1155962	hypothetical protein	SYNPCC7942_1134	SYNPCC7942_1134	SYNPCC7942_RS05805
psaC		519088	519333	PsaC	psaC	SYNPCC7942_0535	SYNPCC7942_RS02720
SYNPCC7942_2051		2127861	2129303	conserved hypothetical protein	SYNPCC7942_2052 // SYNPCC7942_2051	SYNPCC7942_2051	SYNPCC7942_RS10405
srpI		5275	6195	major membrane protein I	srpI	SYNPCC7942_B2662	SYNPCC7942_RS13370
SYNPCC7942_0218		220024	220191	conserved hypothetical protein	SYNPCC7942_0218	SYNPCC7942_0218	SYNPCC7942_RS01110
cysK		1519664	1520668	cysteine synthase	SYNPCC7942_1467 // cysK	SYNPCC7942_1466	SYNPCC7942_RS07500
SYNPCC7942_1090		1107477	1108274	conserved hypothetical protein	SYNPCC7942_1090	SYNPCC7942_1090	SYNPCC7942_RS05595
pyrH		492988	493749	Uridylate kinase	SYNPCC7942_0509 // chlP2 // frr // pyrH	SYNPCC7942_0506	SYNPCC7942_RS02570
SYNPCC7942_2017		2085077	2085370	conserved hypothetical protein	SYNPCC7942_2017	SYNPCC7942_2017	SYNPCC7942_RS10230
srpC		13100	14281	probable chromate transport transmembrane protein	srpC	SYNPCC7942_B2622	SYNPCC7942_RS13420
SYNPCC7942_0176		174311	174712	conserved hypothetical protein	SYNPCC7942_0176	SYNPCC7942_0176	
cbbA		1497217	1498290	ketose-bisphosphate aldolases Fructose-bisphosphate aldolase, class II, Calvin cycle subtype	SYNPCC7942_1444 // cbbA	SYNPCC7942_1443	SYNPCC7942_RS07385
SYNPCC7942_1046		1059261	1059689	conserved hypothetical protein	SYNPCC7942_1046	SYNPCC7942_1046	SYNPCC7942_RS05365
lepB1		461324	461935	Thylakoidal processing peptidase	lepA // lepB1 // SYNPCC7942_0477	SYNPCC7942_0478	SYNPCC7942_RS02435
SYNPCC7942_1968		2038685	2040043	conserved hypothetical protein	SYNPCC7942_1968	SYNPCC7942_1968	SYNPCC7942_RS09985
cpcG		2099548	2100300	phycobilisome rod-core linker polypeptide	cpcG	SYNPCC7942_2030	SYNPCC7942_RS10300
SYNPCC7942_0147		148159	148491	conserved hypothetical protein	SYNPCC7942_0147	SYNPCC7942_0147	SYNPCC7942_RS00745
SYNPCC7942_2590		2674093	2674608	pilin-like protein-like	SYNPCC7942_2591 // SYNPCC7942_2590	SYNPCC7942_2590	SYNPCC7942_RS13190
SYNPCC7942_1013		1025389	1025625	hypothetical protein	cheW // mcpA // cheA // SYNPCC7942_1013	SYNPCC7942_1013	SYNPCC7942_RS05205
ccmK1		1475239	1475547	putative carboxysome assembly protein	ccmK1	SYNPCC7942_1421	SYNPCC7942_RS07270
SYNPCC7942_0966		973359	973946	conserved hypothetical protein	SYNPCC7942_0966	SYNPCC7942_0966	SYNPCC7942_RS04965
SYNPCC7942_0453		442022	443236	two-component sensor histidine kinase	SYNPCC7942_0453	SYNPCC7942_0453	SYNPCC7942_RS02315
SYNPCC7942_0911		918998	919249	conserved hypothetical protein	SYNPCC7942_0911 // SYNPCC7942_0910	SYNPCC7942_0911	SYNPCC7942_RS04685
minC		2070348	2071166	septum site-determining protein MinC	minC	SYNPCC7942_2001	SYNPCC7942_RS10145
SYNPCC7942_1926		2001647	2001940	conserved hypothetical protein	SYNPCC7942_1926	SYNPCC7942_1926	SYNPCC7942_RS09775
thiL		2646633	2647616	thiamine-monophosphate kinase	thiL // ppiA	SYNPCC7942_2567	SYNPCC7942_RS13045
SYNPCC7942_0872		872362	872940	conserved hypothetical protein	SYNPCC7942_0872	SYNPCC7942_0872	SYNPCC7942_RS04495
SYNPCC7942_1390		1435722	1436066	protein kinase C inhibitor	psbA2 // SYNPCC7942_1390	SYNPCC7942_1390	SYNPCC7942_RS07115
SYNPCC7942_1878		1950660	1951652	conserved hypothetical protein	moxR // SYNPCC7942_1878 // SYNPCC7942_1877	SYNPCC7942_1878	SYNPCC7942_RS09525
bioB		408941	409903	biotin synthase	bioB	SYNPCC7942_0419	SYNPCC7942_RS02140
SYNPCC7942_0845		839873	840079	conserved hypothetical protein	SYNPCC7942_0845	SYNPCC7942_0845	
ScpA		2044388	2045224	condensin subunit ScpA	ScpA	SYNPCC7942_1974	SYNPCC7942_RS10010
SYNPCC7942_1835		1903031	1903657	conserved hypothetical protein	SYNPCC7942_1835	SYNPCC7942_1835	SYNPCC7942_RS09310
rplS		2622353	2622766	50S ribosomal subunit protein L19	rplS	SYNPCC7942_2541	SYNPCC7942_RS12900
SYNPCC7942_0807		799840	800679	conserved hypothetical protein	SYNPCC7942_0807 // SYNPCC7942_0806 // SYNPCC7942_0805 // pdxA	SYNPCC7942_0807	SYNPCC7942_RS04175
menA		1404292	1405203	1,4-dihydroxy-2-naphthoate phytyltransferase	menA	SYNPCC7942_1366	SYNPCC7942_RS06990
SYNPCC7942_1797		1866873	1867376	conserved hypothetical protein	SYNPCC7942_1797	SYNPCC7942_1797	SYNPCC7942_RS09130
SYNPCC7942_0387		380395	380901	Protein of unknown function UPF0079	SYNPCC7942_0387 // SYNPCC7942_0386	SYNPCC7942_0387	SYNPCC7942_RS01975
SYNPCC7942_0770		762159	763643	conserved hypothetical protein	SYNPCC7942_0770 // SYNPCC7942_0769	SYNPCC7942_0770	SYNPCC7942_RS03995
sscR2		2025793	2026179	6-pyruvoyl tetrahydrobiopterin synthase	pyrG // sscR2	SYNPCC7942_1953	SYNPCC7942_RS09915
SYNPCC7942_1762		1829577	1831028	conserved hypothetical protein	SYNPCC7942_1764 // SYNPCC7942_1763 // SYNPCC7942_1762	SYNPCC7942_1762	SYNPCC7942_RS08955
glgA		2597751	2599148	Glycogen/starch synthases, ADP-glucose type	glgA // SYNPCC7942_2517	SYNPCC7942_2518	SYNPCC7942_RS12785
SYNPCC7942_0747		741396	742820	conserved hypothetical protein	SYNPCC7942_0749 // gpFII // SYNPCC7942_0747	SYNPCC7942_0747	SYNPCC7942_RS03870
def		1374061	1374639	Peptide deformylase	def	SYNPCC7942_1340	SYNPCC7942_RS06850
SYNPCC7942_1724		1797078	1797386	conserved hypothetical protein	SYNPCC7942_1724	SYNPCC7942_1724	SYNPCC7942_RS08775
SYNPCC7942_0353		345470	346432	Na+-dependent transporter-like	SYNPCC7942_0353	SYNPCC7942_0353	SYNPCC7942_RS01795
anL12		34802	35131	conserved hypothetical protein	anL12 // anL11	SYNPCC7942_B2639	SYNPCC7942_RS13530
SYNPCC7942_1922		1998656	1999156	putative transmembrane transcriptional regulator	SYNPCC7942_1922	SYNPCC7942_1922	SYNPCC7942_RS09755
SYNPCC7942_0724		718004	718447	conserved hypothetical protein	SYNPCC7942_0724	SYNPCC7942_0724	SYNPCC7942_RS03745
livH		2575746	2576687	branched-chain amino acid ABC transporter integral membrane protein	ndk // livJ // livH // livM // livG // livF	SYNPCC7942_2495	SYNPCC7942_RS12660
SYNPCC7942_1675		1744281	1744766	conserved hypothetical protein	SYNPCC7942_1675	SYNPCC7942_1675	SYNPCC7942_RS08535
ftsH4		1342534	1344405	ATP-dependent metalloprotease FtsH	ftsH4	SYNPCC7942_1314	SYNPCC7942_RS06720
SYNPCC7942_2609		2691626	2692156	conserved hypothetical protein	SYNPCC7942_2609	SYNPCC7942_2609	SYNPCC7942_RS13290
atpB		327926	328711	ATP synthase Fo, a subunit	atpE // atpB // SYNPCC7942_0330 // SYNPCC7942_0329	SYNPCC7942_0331	SYNPCC7942_RS01685
SYNPCC7942_0692		685631	686185	conserved hypothetical protein	SYNPCC7942_0692	SYNPCC7942_0692	SYNPCC7942_RS03550
leuC		1970822	1972228	3-isopropylmalate dehydratase, large subunit	leuC // devT // argJ	SYNPCC7942_1898	SYNPCC7942_RS09625
SYNPCC7942_1641		1708665	1709165	hypothetical protein	SYNPCC7942_1642 // SYNPCC7942_1641	SYNPCC7942_1641	SYNPCC7942_RS08370
nanE		2545468	2546166	N-acylglucosamine-6-phosphate 2-epimerase	nanE	SYNPCC7942_2464	SYNPCC7942_RS12525
SYNPCC7942_2568		2647628	2648101	conserved hypothetical protein	tyrS // pyrF // SYNPCC7942_2568	SYNPCC7942_2568	SYNPCC7942_RS13050
smtB		1313561	1313929	transcriptional repressor	smtB	SYNPCC7942_1291	SYNPCC7942_RS06605
SYNPCC7942_0657		653047	653388	conserved hypothetical protein	SYNPCC7942_0657	SYNPCC7942_0657	SYNPCC7942_RS03365
ndhF4		307139	309043	NAD(P)H dehydrogenase, subunit NdhF4	ndhF4 // cupB // SYNPCC7942_0307	SYNPCC7942_0309	SYNPCC7942_RS01575
SYNPCC7942_1599		1665097	1666182	conserved hypothetical protein	apa2 // SYNPCC7942_1599 // PhzF // folE // SPR	SYNPCC7942_1599	SYNPCC7942_RS08165
SYNPCC7942_1873		1945396	1946076	two component transcriptional regulator, winged helix family	SYNPCC7942_1873 // SYNPCC7942_1872	SYNPCC7942_1873	SYNPCC7942_RS09500
SYNPCC7942_2516		2596719	2596958	hypothetical protein	SYNPCC7942_2516	SYNPCC7942_2516	SYNPCC7942_RS12775
pstC		2519609	2520541	Phosphate ABC transporter, permease protein PstC	pstC // pstA	SYNPCC7942_2443	SYNPCC7942_RS12415
